1467.3977744711	0.0000783242
1465.9605582375	0.0000660042
1464.5233420040	0.0000605324
1463.0861257704	0.0000655995
1461.6489095368	0.0000787913
1460.2116933033	0.0000860615
1458.7744770697	0.0000808925
1457.3372608361	0.0000665816
1455.9000446026	0.0000475392
1454.4628283690	0.0000282442
1453.0256121354	0.0000149428
1451.5883959019	0.0000160654
1450.1511796683	0.0000285468
1448.7139634347	0.0000409551
1447.2767472012	0.0000424897
1445.8395309676	0.0000408198
1444.4023147340	0.0000360537
1442.9650985005	0.0000276419
1441.5278822669	0.0000167650
1440.0906660333	0.0000097288
1438.6534497998	0.0000138991
1437.2162335662	0.0000253629
1435.7790173326	0.0000331210
1434.3418010991	0.0000254739
1432.9045848655	0.0000170514
1431.4673686319	0.0000114278
1430.0301523984	0.0000100416
1428.5929361648	0.0000127203
1427.1557199312	0.0000174996
1425.7185036977	0.0000124845
1424.2812874641	0.0000104854
1422.8440712305	0.0000180411
1421.4068549970	0.0000302845
1419.9696387634	0.0000336062
1418.5324225298	0.0000322067
1417.0952062963	0.0000309913
1415.6579900627	0.0000346153
1414.2207738291	0.0000455130
1412.7835575956	0.0000605246
1411.3463413620	0.0000649341
1409.9091251284	0.0000585252
1408.4719088949	0.0000534683
1407.0346926613	0.0000598495
1405.5974764277	0.0000741711
1404.1602601942	0.0000814162
1402.7230439606	0.0000867773
1401.2858277270	0.0000965817
1399.8486114935	0.0001086907
1398.4113952599	0.0001168245
1396.9741790263	0.0001194714
1395.5369627928	0.0001170322
1394.0997465592	0.0001204247
1392.6625303256	0.0001327296
1391.2253140921	0.0001441620
1389.7880978585	0.0001458716
1388.3508816250	0.0001453557
1386.9136653914	0.0001468590
1385.4764491578	0.0001492668
1384.0392329243	0.0001636544
1382.6020166907	0.0001844522
1381.1648004571	0.0002005767
1379.7275842236	0.0002094383
1378.2903679900	0.0002256817
1376.8531517564	0.0002402779
1375.4159355229	0.0002438083
1373.9787192893	0.0002459026
1372.5415030557	0.0002554852
1371.1042868222	0.0002776388
1369.6670705886	0.0003102784
1368.2298543550	0.0003407456
1366.7926381215	0.0003611308
1365.3554218879	0.0003889504
1363.9182056543	0.0004234554
1362.4809894208	0.0004522961
1361.0437731872	0.0004776974
1359.6065569536	0.0005109785
1358.1693407201	0.0005555119
1356.7321244865	0.0006005772
1355.2949082529	0.0006384735
1353.8576920194	0.0006709212
1352.4204757858	0.0007079027
1350.9832595522	0.0007533304
1349.5460433187	0.0008029217
1348.1088270851	0.0008525933
1346.6716108515	0.0009041009
1345.2343946180	0.0009637785
1343.7971783844	0.0010348555
1342.3599621508	0.0011061828
1340.9227459173	0.0011692198
1339.4855296837	0.0012328894
1338.0483134501	0.0013015129
1336.6110972166	0.0013652998
1335.1738809830	0.0014302748
1333.7366647494	0.0015108919
1332.2994485159	0.0016051673
1330.8622322823	0.0016987196
1329.4250160487	0.0017900903
1327.9877998152	0.0018876165
1326.5505835816	0.0019812880
1325.1133673480	0.0020656530
1323.6761511145	0.0021557701
1322.2389348809	0.0022644917
1320.8017186473	0.0023876911
1319.3645024138	0.0025097316
1317.9272861802	0.0026342364
1316.4900699466	0.0027606662
1315.0528537131	0.0028784350
1313.6156374795	0.0029891047
1312.1784212459	0.0031029619
1310.7412050124	0.0032165465
1309.3039887788	0.0033211389
1307.8667725452	0.0034257693
1306.4295563117	0.0035375142
1304.9923400781	0.0036372470
1303.5551238445	0.0037207420
1302.1179076110	0.0038189031
1300.6806913774	0.0039229742
1299.2434751438	0.0039967694
1297.8062589103	0.0040667346
1296.3690426767	0.0041528130
1294.9318264431	0.0042319107
1293.4946102096	0.0042798473
1292.0573939760	0.0043123229
1290.6201777424	0.0043609669
1289.1829615089	0.0044047660
1287.7457452753	0.0044253445
1286.3085290417	0.0044374820
1284.8713128082	0.0044402834
1283.4340965746	0.0044248980
1281.9968803410	0.0044055497
1280.5596641075	0.0043865228
1279.1224478739	0.0043613832
1277.6852316404	0.0043249596
1276.2480154068	0.0042750654
1274.8107991732	0.0042336672
1273.3735829397	0.0042014602
1271.9363667061	0.0041644732
1270.4991504725	0.0041195368
1269.0619342390	0.0040655718
1267.6247180054	0.0040101088
1266.1875017718	0.0039447276
1264.7502855383	0.0038684621
1263.3130693047	0.0037946629
1261.8758530711	0.0037253513
1260.4386368376	0.0036580584
1259.0014206040	0.0035809032
1257.5642043704	0.0034910797
1256.1269881369	0.0034049933
1254.6897719033	0.0033317688
1253.2525556697	0.0032662125
1251.8153394362	0.0031919272
1250.3781232026	0.0031181348
1248.9409069690	0.0030549041
1247.5036907355	0.0029813934
1246.0664745019	0.0028983036
1244.6292582683	0.0028167905
1243.1920420348	0.0027429364
1241.7548258012	0.0026708448
1240.3176095676	0.0025901336
1238.8803933341	0.0025114878
