AlP,5.451,1.32,0.63,0.62,-8.09,0.07,3.58,2.45,3.11,3.15,-5.54,-1.6,,0.22,0.52,0.22
AlAs,5.66,1.25,0.53,0.54,-7.49,0.28,2.95,2.16,2.8,2.47,-5.64,-1.5,,0.13,0.44,0.14
AlSb,6.136,0.88,0.43,0.41,-6.66,0.65,2.22,1.61,2.21,1.38,-6.97,-1.4,-4.3,0.079,0.29,0.12
GaP,5.451,1.41,0.62,0.7,-7.4,0.08,2.74,2.26,2.63,1.7,-7.14,-1.5,-4.6,0.15,0.41,0.16
GaAs,5.653,1.18,0.54,0.59,-6.92,0.34,1.42,1.91,1.73,1.16,-7.17,-1.7,-4.6,0.07,0.35,0.073
GaSb,6.096,0.88,0.4,0.43,-6.25,0.82,0.72,1.05,0.76,0.79,-6.85,-2,-4.8,0.033,0.23,0.054
InP,5.869,1.02,0.58,0.46,-7.04,0.11,1.35,2.21,2.05,1.27,-5.04,-1.6,-4.2,0.064,0.48,0.14
InAs,6.058,0.83,0.45,0.4,-6.67,0.38,0.36,1.37,1.07,1,-5.08,-1.8,-3.6,0.031,0.39,0.055
InSb,6.479,0.66,0.36,0.3,-6.09,0.81,0.17,1.63,0.93,0.36,-6.17,-2.1,-5,0.03,0.26,0.062
